lead_id,channel,dealer_id,dealer_name,customer_name,customer_phone,customer_city,assigned_kam_id,kam_name,stage,status,rag,book_type,car_model,price,created_at
a0000001-0000-0000-0000-000000000001,DealerReferral,d0000001-0000-0000-0000-000000000001,Sharma Motors,Ravi Sharma,+919876000001,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,created,open,green,C2B,Maruti Swift,650000,2026-02-10
a0000001-0000-0000-0000-000000000002,DealerReferral,d0000001-0000-0000-0000-000000000002,Kapoor Cars,Suresh Patel,+919876000002,Delhi,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,evaluation,open,amber,C2D,Hyundai i20,780000,2026-02-10
a0000001-0000-0000-0000-000000000003,YardReferral,d0000001-0000-0000-0000-000000000003,Delhi Auto Hub,Amit Singh,+919876000003,Delhi,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,negotiation,open,green,GS,Honda City,980000,2026-02-11
a0000001-0000-0000-0000-000000000004,DealerReferral,d0000001-0000-0000-0000-000000000001,Sharma Motors,Priya Devi,+919876000004,Gurugram,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2B,Tata Nexon,850000,2026-02-12
a0000001-0000-0000-0000-000000000005,OSS,d0000001-0000-0000-0000-000000000004,Patel Wheels,Manoj Tiwari,+919876000005,Noida,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2D,Kia Seltos,1150000,2026-02-13
a0000001-0000-0000-0000-000000000006,DealerReferral,d0000001-0000-0000-0000-000000000002,Kapoor Cars,Deepika Reddy,+919876000006,Delhi,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,GS,MG Hector,1420000,2026-02-14
a0000001-0000-0000-0000-000000000011,DealerReferral,d0000001-0000-0000-0000-000000000003,Delhi Auto Hub,Arun Mehta,+919876000011,Delhi,3656270b-918e-4333-8f04-a4b4cf9e7d44,Amit Verma,stock_in,won,green,C2B,Toyota Innova,1350000,2026-02-14
b0000001-0000-0000-0000-000000000001,DealerReferral,d0000001-0000-0000-0000-000000000006,Singh Auto Palace,Vikash Yadav,+919876100001,Delhi,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,created,open,green,C2D,Maruti Baleno,720000,2026-02-10
b0000001-0000-0000-0000-000000000002,YardReferral,d0000001-0000-0000-0000-000000000007,Agarwal Motors,Neeta Gupta,+919876100002,Faridabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,evaluation,open,amber,GS,Hyundai Venue,780000,2026-02-11
b0000001-0000-0000-0000-000000000003,DealerReferral,d0000001-0000-0000-0000-000000000008,RK Car World,Anita Sharma,+919876100003,Ghaziabad,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,negotiation,open,green,C2B,Tata Punch,680000,2026-02-12
b0000001-0000-0000-0000-000000000004,DCF,d0000001-0000-0000-0000-000000000009,Verma Auto Sales,Rakesh Verma,+919876100004,Noida,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,C2D,Skoda Kushaq,1280000,2026-02-13
b0000001-0000-0000-0000-000000000005,DealerReferral,d0000001-0000-0000-0000-000000000009,Verma Auto Sales,Rohit Saxena,+919876100005,Noida,14edef99-b500-4101-a30d-ea863293d47e,Sneha Kapoor,stock_in,won,green,GS,Honda Amaze,620000,2026-02-14
